label,text
Crohn's Disease,I've seen signs of abdominal pain along with fatigue.
Peptic Ulcer Disease,"Lately, I noticed cough, which is unusual for me."
Multiple Sclerosis,I'm feeling discomfort due to tingling.
Psoriasis,"I'm having joint discomfort in my fingers, wrists, and knees. The pain is frequently aching and throbbing, and it worsens when I move my joints."
Diabetes,"My body is shaking and trembling. My senses of taste and smell have gotten weaker, and I feel exhausted. I occasionally have palpitations or a rapid pulse."
Gastroesophageal Reflux Disease,I have rash and also noticed related problems recently.
Bladder Cancer,I get tired easily and there’s a dull ache near my pelvis
Fungal Infection,"Whenever I rest, the fever seems to intensify."
Graves' Disease,I have goiter and also noticed related problems recently.
Arthritis,I've been feeling really weak in my muscles and my neck has been really stiff. My joints have been swelling up and I've been having a lot of stiffness when I move around. It's also been really painful to walk.
Typhoid,I'm feeling discomfort due to fatigue.
Dengue,My doctor mentioned that my rash could be related to Dengue.
Ehlers-Danlos Syndrome,"Lately, I noticed fatigue, which is unusual for me."
Myasthenia Gravis,"It started with double vision, but now it's spreading."
Psoriasis,"There is a persistent issue with skin flaking, and I'm concerned."
Ehlers-Danlos Syndrome,I've seen signs of joint hypermobility along with fatigue.
Lupus,The fatigue is affecting my daily life significantly.
Hypertension,"I woke up this morning with a headache and chest pain, and as the day has gone on, I've also been feeling dizzy and unsteady on my feet"
Diabetes,"My mouth and throat are dry. Additionally, I've been growing increasingly hungry. But on occasion, I do feel rather worn out."
Diabetes,My wound is recovering more slowly now. Both my hands and feet are tingling and going numb. I feel very weak
Migraine,My doctor mentioned that my visual disturbances could be related to Migraine.
Tuberculosis,There’s a burning sensation when I inhale cold air.
Gastroesophageal Reflux Disease,"I feel as though acid or food is backing up into my throat. My chest hurts, and lying down makes it worse. After eating, I frequently have heartburn or indigestion and throw up."
Myasthenia Gravis,I've seen signs of difficulty swallowing along with fatigue.
Chronic Kidney Disease,I'm feeling discomfort due to rash.
Dimorphic Hemorrhoids,The rash is affecting my daily life significantly.
Impetigo,"My face is covered in sores. Most of them are near my nose and lips. The lesions are causing discomfort or suffering, and a yellow or rust-colored fluid is oozing from them."
Psoriasis,"My palms and soles have grown and developed severe fissures. These cracks are unpleasant and frequently bleed. Also, the skin is starting to peel off."
Allergy,I've seen signs of rash along with fatigue.
Cushing's Syndrome,I'm feeling discomfort due to weight gain.
Hepatitis B,My palms have become red and itchy.
Allergy,"I've been having pain, and it's been getting worse."
Drug Reaction,I have fatigue and also noticed related problems recently.
Lupus,"It started with hair loss, but now it's spreading."
Pneumonia,My doctor mentioned that my cough could be related to Pneumonia.
Urinary Tract Infection,I've seen signs of pain along with fatigue.
Peptic Ulcer Disease,I have been having bloody stools which has resulted in bloos loss and loss of iron. Thiis has caused me anemia and I feel very weak in general
Acne,My skin has now developed a revolting rash. There are pus-filled pimples and blackheads everywhere. My skin has also been really sensitive.
Gastroesophageal Reflux Disease,"I occasionally have trouble swallowing food because of the tingling in my throat, terrible breath, and bad taste in my mouth."
Cystic Fibrosis,"I've been having persistent cough, and it's been getting worse."
Pneumonia,"With a high temperature, shortness of breath, sweating, chills, and intense exhaustion, I've been feeling quite poorly. I've been coughing up a lot of brownish phlegm and my pulse rate is racing."
Hiv/Aids,I get bruises easily and they take time to heal.
Diphtheria,"I've been having fatigue, and it's been getting worse."
Raynaud's Disease,"Whenever I rest, the numbness seems to intensify."
Raynaud's Disease,My doctor mentioned that my color changes in fingers could be related to Raynaud's Disease.
Sarcoidosis,"Whenever I rest, the dry cough seems to intensify."
Ebola Virus,I started vomiting this morning and can’t seem to keep anything down
Hypertension,"I have been feeling lightheaded and unsteady on my feet, and have also noticed a decline in my ability to focus and concentrate."
Arthritis,"I've been having fever, and it's been getting worse."
Urinary Tract Infection,My pee smells strongly and is cloudy in appearance. I've had high temperatures and a regular urge to urinate at night since these symptoms first materialised.
Jaundice,My doctor mentioned that my rash could be related to Jaundice.
Diabetes,I'm feeling discomfort due to slow healing wounds.
Common Cold,I'm constantly sneezing and my body is shaking from being cold. I'm so tired I can barely move and my head is killing me. My fever is through the roof
Cervical Spondylosis,The rash is affecting my daily life significantly.
Chicken Pox,The itching is making it hard for me to sleep at night. I can't get any rest. I have also lost my appetite and feel lethargic.
ALS,"Whenever I rest, the difficulty swallowing seems to intensify."
Hypertension,My doctor mentioned that my headaches could be related to Hypertension.
Allergy,I always feel exhausted and have a tickle in my throat. My skin has also started to feel dry. I occasionally get ocular swelling.
Chicken Pox,"There are red swollen spots all over my body. It itches if I touch them. Moreover, I also have a high fever and headache and always feel exhausted."
Ebola Virus,"Whenever I rest, the fever seems to intensify."
Parkinson's Disease,The speech changes is affecting my daily life significantly.
Dimorphic Hemorrhoids,"My bowel motions are giving me a lot of problems right now. Going is difficult, and going hurts when I do it. When I go, my anus bleeds and is really uncomfortable. I'm in a lot of discomfort and it hurts extremely bad."
